,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
2101,KOSDAQ,20170623,66893,565.0,0.85,553223,2634679,0.8482,28.7
2102,KOSDAQ,20170626,66836,-57.0,-0.09,579790,3009129,-0.0852,2.4
2103,KOSDAQ,20170627,67263,427.0,0.64,631462,3107304,0.6368,3.4
2104,KOSDAQ,20170628,66589,-674.0,-1.0,578747,2987481,-1.0071,4.4
2105,KOSDAQ,20170629,66800,211.0,0.32,507416,2656216,0.3164,5.4
2106,KOSDAQ,20170630,66904,104.0,0.16,504702,2624370,0.1556,6.4
2107,KOSDAQ,20170703,66097,-807.0,-1.21,554033,2741174,-1.2135,9.4
2108,KOSDAQ,20170704,65619,-478.0,-0.72,727430,3055925,-0.7258,10.4
2109,KOSDAQ,20170705,66154,535.0,0.82,558154,2657428,0.812,11.4
2110,KOSDAQ,20170706,66379,225.0,0.34,548714,2462263,0.3395,12.4
2111,KOSDAQ,20170707,66377,-2.0,0.0,543514,2550314,-0.003,13.4
2112,KOSDAQ,20170710,65786,-591.0,-0.89,506531,2577794,-0.8944,16.4
2113,KOSDAQ,20170711,65601,-185.0,-0.28,534278,2495398,-0.2816,17.4
2114,KOSDAQ,20170712,65110,-491.0,-0.75,577228,2823923,-0.7513,18.4
2115,KOSDAQ,20170713,65269,159.0,0.24,484180,2933935,0.2439,19.4
2116,KOSDAQ,20170714,65411,142.0,0.22,525201,2693374,0.2173,20.4
2117,KOSDAQ,20170717,65989,578.0,0.88,408866,2334821,0.8798,23.4
2118,KOSDAQ,20170718,66402,413.0,0.63,563225,3022652,0.6239,24.4
2119,KOSDAQ,20170719,67153,751.0,1.13,493980,3152560,1.1246,25.4
2120,KOSDAQ,20170720,67651,498.0,0.74,562813,3204548,0.7389,26.4
2121,KOSDAQ,20170721,67660,9.0,0.01,515291,3049233,0.0133,27.4
2122,KOSDAQ,20170724,67732,72.0,0.11,522252,2952986,0.1064,1.1
2123,KOSDAQ,20170725,67047,-685.0,-1.01,668846,3330291,-1.0165,2.1
2124,KOSDAQ,20170726,66722,-325.0,-0.48,586902,3329982,-0.4859,3.1
2125,KOSDAQ,20170727,66648,-74.0,-0.11,522707,2870985,-0.111,4.1
2126,KOSDAQ,20170728,65295,-1353.0,-2.03,553962,3749816,-2.051,5.1
2127,KOSDAQ,20170731,65047,-248.0,-0.38,496227,2818006,-0.3805,8.1
2128,KOSDAQ,20170801,65312,265.0,0.41,482494,2634769,0.4066,9.1
2129,KOSDAQ,20170802,65752,440.0,0.67,487493,2692921,0.6714,10.1
2130,KOSDAQ,20170803,64309,-1443.0,-2.19,523835,3170955,-2.219,11.1
2131,KOSDAQ,20170804,64158,-151.0,-0.23,452887,2639686,-0.2351,12.1
2132,KOSDAQ,20170807,64839,681.0,1.06,450863,2417159,1.0558,15.1
