,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
487,KOSPI,20101209,198896,3324.0,1.7,440478,6770500,1.6853,3.8
488,KOSPI,20101210,198614,-282.0,-0.14,353673,5236565,-0.1419,4.8
489,KOSPI,20101213,199659,1045.0,0.53,378150,5055451,0.5248,7.8
490,KOSPI,20101214,200905,1246.0,0.62,389837,6337978,0.6221,8.8
491,KOSPI,20101215,201748,843.0,0.42,480466,6486732,0.4187,9.8
492,KOSPI,20101216,200924,-824.0,-0.41,356598,5323993,-0.4093,10.8
493,KOSPI,20101217,202630,1706.0,0.85,495360,6802700,0.8455,11.8
494,KOSPI,20101220,202028,-602.0,-0.3,402012,7045798,-0.2975,14.8
495,KOSPI,20101221,203709,1681.0,0.83,363210,7226125,0.8286,15.8
496,KOSPI,20101222,203811,102.0,0.05,328464,6023086,0.0501,16.8
497,KOSPI,20101223,203753,-58.0,-0.03,331261,5101191,-0.0285,17.8
498,KOSPI,20101224,202960,-793.0,-0.39,312500,5371352,-0.39,18.8
499,KOSPI,20101227,202219,-741.0,-0.37,269273,5074207,-0.3658,21.8
500,KOSPI,20101228,203332,1113.0,0.55,337868,5625833,0.5489,22.8
501,KOSPI,20101229,204349,1017.0,0.5,277916,4967756,0.4989,23.8
502,KOSPI,20101230,205100,751.0,0.37,297360,5246128,0.3668,24.8
503,KOSPI,20110103,207008,1908.0,0.93,344033,5780514,0.926,28.8
504,KOSPI,20110104,208514,1506.0,0.73,406359,7653046,0.7249,0.1
505,KOSPI,20110105,208255,-259.0,-0.12,379140,8451445,-0.1243,1.1
506,KOSPI,20110106,207761,-494.0,-0.24,396770,8650723,-0.2375,2.1
507,KOSPI,20110107,208620,859.0,0.41,329923,7575309,0.4126,3.1
508,KOSPI,20110110,208081,-539.0,-0.26,336911,7194050,-0.2587,6.1
509,KOSPI,20110111,208832,751.0,0.36,403367,6896824,0.3603,7.1
